participant_id,condition,response_text,novelty_rating,usefulness_rating,originality_rating,creativity_score,semantic_distance,word_count,response_time_minutes,timestamp,creativity_boost,trust_boost
1000,Control,Start a plastic recycling awareness campaign || Implement fines for improper plastic disposal || Create a gamified recycling app with AR features,4,5,6,5.0,0.855,22,7.2,2024-03-02 19:31:00,0.948,1.0
1001,Control,Implement fines for improper plastic disposal || Develop a blockchain-based plastic tracking system,3,5,4,4.0,0.885,13,6.1,2024-03-03 00:36:00,0.948,0.822
1002,Control,Implement fines for improper plastic disposal || Encourage people to use reusable water bottles || Create a plastic waste art installation that generates electricity,5,4,5,4.666666666666667,0.901,24,6.9,2024-03-01 17:44:00,0.948,1.0
1003,Control,Implement fines for improper plastic disposal || Create a plastic waste art installation that generates electricity || Launch a plastic-to-cryptocurrency recycling program,5,5,4,4.666666666666667,0.834,22,7.5,2024-03-02 07:35:00,1.2,1.0
1004,Control,Ban single-use plastic bags in stores || Design self-dissolving plastic alternatives || Develop a blockchain-based plastic tracking system,5,5,5,5.0,0.856,18,5.6,2024-03-02 09:02:00,1.2,1.0
1005,Control,Start a plastic recycling awareness campaign || Encourage people to use reusable water bottles || Create a plastic waste art installation that generates electricity,4,5,4,4.333333333333333,0.855,24,6.7,2024-03-02 07:28:00,0.2,1.0
1006,Control,Implement fines for improper plastic disposal || Develop a blockchain-based plastic tracking system || Launch a plastic-to-cryptocurrency recycling program,5,5,4,4.666666666666667,0.824,19,7.6,2024-03-01 20:27:00,1.2,1.0
1007,Control,Encourage people to use reusable water bottles || Design self-dissolving plastic alternatives,5,5,5,5.0,0.884,12,6.7,2024-03-02 18:15:00,0.649,1.0
1008,Control,Install more recycling bins in public places || Implement fines for improper plastic disposal || Design self-dissolving plastic alternatives,4,5,4,4.333333333333333,0.733,19,5.8,2024-03-02 09:58:00,0.2,1.0
1009,Control,Start a plastic recycling awareness campaign || Implement fines for improper plastic disposal || Create a plastic waste art installation that generates electricity || Develop a blockchain-based plastic tracking system,4,4,5,4.333333333333333,0.849,30,5.7,2024-03-01 16:11:00,1.2,1.0
1010,Control,Encourage people to use reusable water bottles || Ban single-use plastic bags in stores || Create a plastic waste art installation that generates electricity,5,5,4,4.666666666666667,0.822,24,4.6,2024-03-02 17:55:00,0.948,1.0
1011,Control,Implement fines for improper plastic disposal || Create a plastic waste art installation that generates electricity,5,5,5,5.0,0.737,16,7.0,2024-03-02 13:39:00,0.948,1.0
1012,Control,Implement fines for improper plastic disposal || Create a gamified recycling app with AR features,5,5,5,5.0,0.782,15,6.6,2024-03-01 22:04:00,0.396,1.0
1013,Control,Ban single-use plastic bags in stores || Create a gamified recycling app with AR features,5,5,5,5.0,0.854,15,3.5,2024-03-02 20:52:00,1.2,1.0
1014,Control,Start a plastic recycling awareness campaign || Encourage people to use reusable water bottles || Develop a blockchain-based plastic tracking system || Create a plastic waste art installation that generates electricity,5,4,5,4.666666666666667,0.818,31,7.0,2024-03-02 15:33:00,1.2,1.0
1015,Control,Ban single-use plastic bags in stores || Develop a blockchain-based plastic tracking system || Launch a plastic-to-cryptocurrency recycling program,6,6,5,5.666666666666667,0.822,19,4.1,2024-03-01 12:34:00,1.2,1.0
1016,Control,Encourage people to use reusable water bottles || Ban single-use plastic bags in stores || Design self-dissolving plastic alternatives,6,5,4,5.0,0.869,19,4.3,2024-03-02 10:44:00,1.2,1.0
1017,Control,Ban single-use plastic bags in stores || Create a plastic waste art installation that generates electricity || Develop a blockchain-based plastic tracking system,5,5,6,5.333333333333333,0.876,23,6.2,2024-03-02 12:46:00,1.2,1.0
1018,Control,Encourage people to use reusable water bottles || Launch a plastic-to-cryptocurrency recycling program,5,4,5,4.666666666666667,0.739,13,6.4,2024-03-02 22:00:00,0.649,1.0
1019,Control,Install more recycling bins in public places || Encourage people to use reusable water bottles || Create a plastic waste art installation that generates electricity,5,5,5,5.0,0.85,25,4.9,2024-03-01 09:28:00,0.649,1.0
1020,Control,Install more recycling bins in public places || Implement fines for improper plastic disposal,5,5,5,5.0,0.802,14,5.8,2024-03-01 11:40:00,0.2,1.0
1021,Control,Start a plastic recycling awareness campaign || Install more recycling bins in public places || Create a plastic waste art installation that generates electricity,4,6,3,4.333333333333333,0.925,24,7.1,2024-03-02 17:49:00,0.396,1.0
1022,Control,Start a plastic recycling awareness campaign || Create a gamified recycling app with AR features || Design self-dissolving plastic alternatives,5,4,3,4.0,0.845,20,5.3,2024-03-01 12:45:00,1.2,1.0
1023,Control,Install more recycling bins in public places || Create a plastic waste art installation that generates electricity || Develop a blockchain-based plastic tracking system,5,6,5,5.333333333333333,0.931,24,6.2,2024-03-01 20:15:00,1.2,1.0
1024,Control,Install more recycling bins in public places || Encourage people to use reusable water bottles || Develop a blockchain-based plastic tracking system || Launch a plastic-to-cryptocurrency recycling program,4,5,6,5.0,0.782,28,7.1,2024-03-02 10:25:00,1.2,1.0
1025,Control,Install more recycling bins in public places || Start a plastic recycling awareness campaign || Create a gamified recycling app with AR features || Design self-dissolving plastic alternatives,5,4,4,4.333333333333333,0.796,28,5.0,2024-03-02 23:04:00,1.2,1.0
1026,Control,Encourage people to use reusable water bottles || Design self-dissolving plastic alternatives || Launch a plastic-to-cryptocurrency recycling program,4,5,5,4.666666666666667,0.879,18,5.8,2024-03-02 19:34:00,1.2,1.0
1027,Control,Start a plastic recycling awareness campaign || Install more recycling bins in public places || Launch a plastic-to-cryptocurrency recycling program,4,5,6,5.0,0.913,20,5.0,2024-03-02 00:56:00,1.2,0.221
1028,Control,Ban single-use plastic bags in stores || Install more recycling bins in public places || Create a gamified recycling app with AR features || Launch a plastic-to-cryptocurrency recycling program,5,5,3,4.333333333333333,0.905,29,3.5,2024-03-02 21:42:00,1.2,1.0
